Gene,EEG_count,EEG_present,Cardiology_count,Cardiology_present,Endocrinology_count,Endocrinology_present,Immunology_count,Immunology_present,Oncology_count,Oncology_present,Domains_present,NonEEG_domains_present,Entropy,H_norm,Domain_Degree,Betweenness
WNT1,0,0,123,1,111,1,71,1,683,1,4,4,0.9494248147344959,0.5899108051323296,4,0.0011802173839159564
WNT3A,0,0,155,1,141,1,71,1,633,1,4,4,1.042451192825135,0.6477113436755946,4,0.002244987172454962
WNT5A,0,0,131,1,104,1,140,1,872,1,4,4,0.9395417999952134,0.5837701428160458,4,0.001074151642805112
AXIN1,0,0,25,1,17,1,31,1,277,1,4,4,0.7352389401263364,0.4568296387490756,4,0.0005680775386556995
AXIN2,0,0,39,1,28,1,28,1,531,1,4,4,0.590498949293643,0.36689762601688525,4,0.00017649135217268457
GSK3B,0,0,51,1,66,1,40,1,171,1,4,4,1.2081966371325918,0.7506947784679221,4,0.007628787927191584
GABRB2,10,1,1,1,1,1,0,0,16,1,4,3,0.9255162785363127,0.5750555963582153,4,0.02240932981345566
HTR2C,0,0,11,1,20,1,0,0,12,1,3,3,1.060958876869216,0.6592108143299736,3,0.006089989274886393
RAD54,0,0,1,1,7,1,0,0,52,1,3,3,0.44291048872541045,0.2751957595279686,3,0.00026294878632220623
JAG2,0,0,9,1,0,0,5,1,77,1,3,3,0.5295932621080244,0.3290547948551007,3,0.00034567748692514974
PDCD1LG1,0,0,1,1,0,0,0,0,2,1,2,2,0.6365141682928128,0.39548848910248063,2,0.0019338454930336053
