Gene,Domain,Query,Count
NRAS,EEG,"((""NRAS""[Title/Abstract]) AND (""Electroencephalography""[MeSH Terms] OR ""Electroencephalography""[Majr] OR ""EEG""[Title/Abstract])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",2
NRAS,Cardiology,"((""NRAS""[Title/Abstract]) AND (""Cardiology""[MeSH Terms] OR ""Cardiovascular Diseases""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",187
NRAS,Endocrinology,"((""NRAS""[Title/Abstract]) AND (""Endocrinology""[MeSH Terms] OR ""Diabetes Mellitus""[MeSH Terms] OR ""Metabolic Diseases""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",61
NRAS,Immunology,"((""NRAS""[Title/Abstract]) AND (""Immunology""[MeSH Terms] OR ""Autoimmune Diseases""[MeSH Terms] OR ""Inflammation""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",63
NRAS,Oncology,"((""NRAS""[Title/Abstract]) AND (""Medical Oncology""[MeSH Terms] OR ""Neoplasms""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",5588
BRAF,EEG,"((""BRAF""[Title/Abstract]) AND (""Electroencephalography""[MeSH Terms] OR ""Electroencephalography""[Majr] OR ""EEG""[Title/Abstract])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",17
BRAF,Cardiology,"((""BRAF""[Title/Abstract]) AND (""Cardiology""[MeSH Terms] OR ""Cardiovascular Diseases""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",379
BRAF,Endocrinology,"((""BRAF""[Title/Abstract]) AND (""Endocrinology""[MeSH Terms] OR ""Diabetes Mellitus""[MeSH Terms] OR ""Metabolic Diseases""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",299
BRAF,Immunology,"((""BRAF""[Title/Abstract]) AND (""Immunology""[MeSH Terms] OR ""Autoimmune Diseases""[MeSH Terms] OR ""Inflammation""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",192
BRAF,Oncology,"((""BRAF""[Title/Abstract]) AND (""Medical Oncology""[MeSH Terms] OR ""Neoplasms""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",18174
MTOR,EEG,"((""MTOR""[Title/Abstract]) AND (""Electroencephalography""[MeSH Terms] OR ""Electroencephalography""[Majr] OR ""EEG""[Title/Abstract])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",120
MTOR,Cardiology,"((""MTOR""[Title/Abstract]) AND (""Cardiology""[MeSH Terms] OR ""Cardiovascular Diseases""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",2869
MTOR,Endocrinology,"((""MTOR""[Title/Abstract]) AND (""Endocrinology""[MeSH Terms] OR ""Diabetes Mellitus""[MeSH Terms] OR ""Metabolic Diseases""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",2603
MTOR,Immunology,"((""MTOR""[Title/Abstract]) AND (""Immunology""[MeSH Terms] OR ""Autoimmune Diseases""[MeSH Terms] OR ""Inflammation""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",2229
MTOR,Oncology,"((""MTOR""[Title/Abstract]) AND (""Medical Oncology""[MeSH Terms] OR ""Neoplasms""[MeSH Terms])) AND ((""journal article""[Publication Type] OR ""review""[Publication Type]) NOT (""editorial""[Publication Type] OR ""letter""[Publication Type])) AND ((""1800/01/01""[Date - Publication] : ""2026/03/15""[Date - Publication]))",21243
